id,serial,modelo,precio_costo_usd,envios_repuestos,precio_venta_usd,sucursal,condicion,procesador,slots,tipo_ram,ram,ssd,hdd,so,pantalla,resolucion,placa_video,vram,teclado_retro,idioma_teclado,color,bateria,duracion,garantia_update,garantia_oficial,fallas,disponible,ingreso,created_at,updated_at,marca,refresh,touchscreen
1,NN,MSI Delta 15 A5EK-097,679,175,1.050,MITRE,REFURBISHED,Ryzen 7 5800H,,,16GB,1TB,,WIN11,"15,6''",FHD 240Hz,AMD Radeon RX6700M,10GB,RGB,Ingles,Carbon Gray,,,6 meses,,,TRUE,,,,MSI,,FALSE
2,NN,MacBook Pro M1,745,104,999,MITRE,REFURBISHED,M1 Pro 8-core,,,16GB,512GB,,MacOS,"14,0''",3024x1964,14-core,,SI,Ingles,Silver,,,6 meses,,,TRUE,,,,Apple,,FALSE
3,NN,MacBook Pro M1,749,104,999,MITRE,REFURBISHED,M1 Pro 8-core,,,16GB,512GB,,MacOS,"14,2''",3024x1964,14-core,,SI,Ingles,Silver,,,6 meses,,,TRUE,,,,Apple,,FALSE
4,P7C33Y072Q,"Macbook Air M2 13,6"" 2022",700,0,900,LA PLATA,RESERVADA,M2 8-core CPU,,LPDDR4,8GB,512GB,,MacOS,"13,6''",2560x1664,10-core GPU,,SI,Inglés,Midnight,,,6 meses,,,TRUE,,,,Apple,,FALSE
5,C4VJR37NQN,"MacBook Air M3 15,3"" 2023",931,100,1.290,MITRE,RESERVADA,M3 8-core,,LPDDR5,16GB,512GB,,macOS,"15,3''",2880x1864,10-core,,SI,Inglés,Midnight,,,Oficial Apple,,,TRUE,,,,Apple,,FALSE
6,G9094GJ9G0,Macbook Air M3 2024,789,104,999,MITRE,NUEVA,M3 8-core,,LPDDR5,8GB,256GB,,MacOS,"15,3''",2880x1864,10-core,,SI,Español,Silver,,,Oficial Apple,,,TRUE,,,,Apple,,FALSE
7,FX2KV66WK2,Macbook Air M3 2024,789,105,999,LA PLATA,NUEVA,M3 8-core,,LPDDR5,8GB,256GB,,MacOS,"15,3''",2880x1864,10-core,,SI,Español,Silver,,,Oficial Apple,,,TRUE,,,,Apple,,FALSE
8,KFL62R5X6R,"MacBook Air M4 15,3"" 2025",1.059,98,1.280,MITRE,RESERVADA,M4 10-core,,LPDDR5,16GB,256GB,,macOS,"15,3''",2880x1864,10-core,,SI,Inglés,Sky Blue,,,Oficial Apple,,,TRUE,,,,Apple,,FALSE
9,LGC0X66LW,"MacBook Air M4 15,3"" 2025",1.059,98,1.280,LA PLATA,NUEVA,M4 10-core,,LPDDR5,16GB,256GB,,macOS,"15,3''",2880x1864,10-core,,SI,Inglés,Sky Blue,,,Oficial Apple,,,TRUE,,,,Apple,,FALSE
10,KRQXWVD41J,"MacBook Pro M3 Pro 14,2''",1.059,105,1.500,MITRE,NUEVA,M3 Pro 8-core,,LPDDR5,16GB,1TB,,MacOS,"14,2''",3024x1964,10-core ,,SI,Español,Silver,,,Oficial Apple,,,TRUE,,,,Apple,,FALSE
11,G3WKQY3YL2,"MacBook Pro M3 Pro 16,2''",1.469,137,1.990,MITRE,NUEVA,M3 Pro 12-core,,LPDDR5,18GB,512GB,,MacOS,"16,2''",3456x2234,18-core,,SI,Español,Space Black,,,Oficial Apple,,,TRUE,,,,Apple,,FALSE
12,GRJ7V71GXX,"MacBook Pro M3 Pro 16,2''",1.469,137,1.990,LA PLATA,NUEVA,M3 Pro 12-core,,LPDDR5,18GB,512GB,,MacOS,"16,2''",3456x2234,18-core,,SI,Español,Space Black,,,Oficial Apple,,,TRUE,,,,Apple,,FALSE
13,J9H29HY95J,"MacBook Pro M4 Pro 16,2""",2.179,197,2.570,LA PLATA,NUEVA,M4 Pro 14-core,,LPDDR5,24GB,512GB,,MacOS,"16,2""",3456x2234,20-core GPU,,SI,Inglés,Space Black,,,Oficial Apple,,,TRUE,,,,Apple,,FALSE
14,...8756600,Acer TravelMate 514 X5,250,0,350,LA PLATA,NUEVA,i5-8265U,0,DDR4,8GB ,256GB,,WIN10,14'',FHD,Intel UHD Graphics,,,Ingles,,100%,,6 meses,,,TRUE,,,,Apple,,FALSE
15,...46600,Acer TravelMate 514 X5,250,0,350,LA PLATA,NUEVA,i5-8265U,0,DDR4,8GB ,256GB,,WIN10,14'',FHD,Intel UHD Graphics,,,Ingles,,100%,,6 meses,,,TRUE,,,,Acer,,FALSE
16,...7576600,Acer TravelMate 514 X5,250,0,350,LA PLATA,NUEVA,i5-8265U,0,DDR4,8GB ,256GB,,WIN10,14'',FHD,Intel UHD Graphics,,,Ingles,,100%,,6 meses,,,TRUE,,,,Acer,,FALSE
17,...8016600,Acer TravelMate 514 X5,250,0,350,LA PLATA,NUEVA,i5-8265U,0,DDR4,8GB ,256GB,,WIN10,14'',FHD,Intel UHD Graphics,,,Ingles,,100%,,6 meses,,,TRUE,,,,Acer,,FALSE
